Season,MaxRound,Team,GamesPlayed,OffTotPoints,OffTotYards,OffTotPlaysRun,OffTotYardsPerPlay,OffTotTurnovers,OffTotFumbles,OffTot1stDowns,OffPassCompletions,OffPassAttempts,OffPassYards,OffPassTouchdowns,OffPassInterceptions,OffPassNetYardsPerAttempt,OffPass1stDowns,OffRushAttempts,OffRushYards,OffRushTouchdowns,OffRushYardsPerAttempt,OffRush1stDowns,OffNumOfPenalties,OffPenaltyYards,Off1stDownsByPenalty,OffPctOfDrivesEndingInScore,OffPctOfDrivesEndingInTurnover,OffExpectedPointsContributed,DefTotPoints,DefTotYards,DefTotPlaysRun,DefTotYardsPerPlay,DefTotTakeaways,DefTotFumbles,DefTot1stDowns,DefPassCompletions,DefPassAttempts,DefPassYards,DefPassTouchdowns,DefPassInterceptions,DefPassNetYardsPerAttempt,DefPass1stDowns,DefRushAttempts,DefRushYards,DefRushTouchdowns,DefRushYardsPerAttempt,DefRush1stDowns,DefNumOfPenalties,DefPenaltyYards,Def1stDownsByPenalty,DefPctOfDrivesEndingInScore,DefPctOfDrivesEndingInTurnover,DefExpectedPointsContributed,OffTotPointsRank,OffTotYardsRank,OffTotPlaysRunRank,OffTotYardsPerPlayRank,OffTotTurnoversRank,OffTotFumblesRank,OffTot1stDownsRank,OffPassCompletionsRank,OffPassAttemptsRank,OffPassYardsRank,OffPassTouchdownsRank,OffPassInterceptionsRank,OffPassNetYardsPerAttemptRank,OffPass1stDownsRank,OffRushAttemptsRank,OffRushYardsRank,OffRushTouchdownsRank,OffRushYardsPerAttemptRank,OffRush1stDownsRank,OffNumOfPenaltiesRank,OffPenaltyYardsRank,Off1stDownsByPenaltyRank,OffPctOfDrivesEndingInScoreRank,OffPctOfDrivesEndingInTurnoverRank,OffExpectedPointsContributedRank,DefTotPointsRank,DefTotYardsRank,DefTotPlaysRunRank,DefTotYardsPerPlayRank,DefTotTakeawaysRank,DefTotFumblesRank,DefTot1stDownsRank,DefPassCompletionsRank,DefPassAttemptsRank,DefPassYardsRank,DefPassTouchdownsRank,DefPassInterceptionsRank,DefPassNetYardsPerAttemptRank,DefPass1stDownsRank,DefRushAttemptsRank,DefRushYardsRank,DefRushTouchdownsRank,DefRushYardsPerAttemptRank,DefRush1stDownsRank,DefNumOfPenaltiesRank,DefPenaltyYardsRank,Def1stDownsByPenaltyRank,DefPctOfDrivesEndingInScoreRank,DefPctOfDrivesEndingInTurnoverRank,DefExpectedPointsContributedRank,Selection,SelectionCount
2003,3,Carolina Panthers,16,325,5141,1008,5.1,31,15,284,270,460,3050,19,16,6.3,146,522,2091,9,4.0,114,116,966,24,30.8,14.9,-149.93,304,4725,996,4.7,26,10,274,299,522,3003,19,16,5.3,161,434,1722,10,4.0,83,111,1011,30,26.3,12.6,226.48,15,16,17,16,22,26,19,28,28,18,17,13,8,25,3,7,24,17,11,24,23,18,15,21,16,10,8,14,6,18,24,8,16,20,9,14,12,6,11,9,11,7,13,6,23,28,27,6,20,4,304,600.0
2003,1,Green Bay Packers,16,442,5798,999,5.8,32,11,315,310,473,3240,32,21,6.6,166,507,2558,18,5.0,127,88,699,22,38.0,15.6,-49.49,307,5101,1036,4.9,32,11,288,326,589,3400,18,21,5.5,172,413,1701,10,4.1,91,97,767,25,29.6,15.3,217.43,4,4,20,3,25,15,7,15,27,16,1,27,5,15,5,3,5,2,2,3,5,24,5,22,5,11,17,23,10,10,20,14,25,31,23,10,8,10,20,6,10,7,16,10,12,9,16,14,10,6,106,600.0
2003,2,Indianapolis Colts,16,447,5874,1041,5.6,20,10,348,381,569,4179,29,10,7.1,212,453,1695,16,3.7,104,92,662,32,46.3,10.2,-13.96,336,4789,913,5.2,30,15,279,277,445,2809,18,15,5.9,138,437,1980,19,4.5,117,123,1005,24,30.1,14.8,125.64,2,3,7,4,2,11,1,1,5,1,4,3,2,1,13,19,10,26,13,7,2,3,1,3,3,20,11,2,20,12,4,11,5,1,5,10,16,18,2,10,20,28,23,23,28,26,12,16,12,18,218,900.0
2003,4,New England Patriots,16,348,5039,1042,4.8,24,11,294,320,537,3432,23,13,6.0,177,473,1607,9,3.4,91,111,998,26,27.9,11.3,-136.51,238,4666,1060,4.4,41,12,293,328,618,3232,11,29,4.9,177,401,1434,10,3.6,91,107,845,25,23.0,19.5,280.69,12,17,6,21,8,15,16,8,6,9,11,6,13,11,12,27,24,30,23,22,25,14,18,6,15,1,7,29,4,2,15,17,27,32,15,1,1,1,23,4,4,7,6,10,19,16,16,1,2,2,402,1500.0
2003,2,Philadelphia Eagles,16,374,5035,944,5.3,22,11,302,279,484,3020,17,11,5.7,156,417,2015,23,4.8,105,96,817,41,34.2,10.2,-80.82,287,5307,1058,5.0,26,13,306,337,559,3236,17,13,5.4,171,461,2071,13,4.5,116,129,1105,19,27.8,13.4,168.96,11,18,29,10,5,15,13,25,25,20,22,4,20,18,25,9,2,4,12,9,12,1,10,3,8,7,20,28,15,18,9,21,31,28,16,7,26,9,18,21,22,18,23,22,29,32,4,9,17,12,212,300.0
2003,1,Tennessee Titans,16,435,5501,1013,5.4,21,12,310,315,502,3878,30,9,7.4,211,486,1623,11,3.3,84,110,887,15,39.4,9.6,-103.79,324,4901,926,5.3,34,13,275,332,546,3606,20,21,6.2,167,342,1295,10,3.8,79,96,793,29,29.8,16.0,202.69,5,8,15,7,4,19,10,11,22,5,3,2,1,2,9,26,21,31,28,21,17,31,3,2,9,13,12,3,23,8,9,9,29,27,30,17,8,24,16,1,1,7,7,4,10,12,25,15,9,9,109,1200.0
2004,2,Atlanta Falcons,16,340,5084,969,5.2,30,14,284,217,395,2412,15,16,5.4,120,524,2672,20,5.1,133,109,905,31,28.8,15.8,-108.92,337,5207,999,5.2,32,13,310,328,517,3526,19,19,6.2,183,434,1681,20,3.9,107,129,930,20,29.7,16.8,133.45,16,20,24,16,22,25,19,32,31,30,28,15,24,32,5,1,3,1,4,13,15,9,19,23,16,14,14,16,15,11,10,20,24,19,22,11,10,18,23,12,8,29,10,21,31,18,3,16,10,14,214,900.0
2004,1,Indianapolis Colts,16,522,6475,968,6.7,17,7,379,353,527,4623,51,10,8.5,238,427,1852,10,4.3,94,106,801,47,46.3,9.7,113.82,351,5929,1042,5.7,36,17,331,364,557,3892,26,19,6.5,209,440,2037,12,4.6,103,116,877,19,35.4,18.5,50.75,1,2,25,1,2,2,2,6,15,1,1,2,1,1,20,15,22,12,17,10,3,1,1,3,1,19,29,27,27,4,2,29,31,30,28,22,10,23,30,15,24,14,28,20,19,12,2,24,4,23,123,600.0
2004,1,Minnesota Vikings,16,405,6339,985,6.4,21,9,351,380,552,4516,39,12,7.6,225,387,1823,8,4.7,98,117,884,28,38.9,12.0,65.96,395,5902,1018,5.8,22,11,350,338,544,3896,30,11,6.7,220,435,2006,15,4.6,110,110,974,20,41.6,13.3,0.82,6,4,22,2,5,6,4,2,8,2,2,7,2,4,28,18,29,2,14,21,13,15,5,9,3,26,28,22,29,25,20,31,28,27,29,27,28,28,32,13,21,21,28,24,15,24,3,32,20,32,132,300.0
2004,4,New England Patriots,16,437,5722,1035,5.5,27,13,344,293,485,3588,29,14,7.0,193,524,2134,15,4.1,120,101,822,31,42.1,14.6,22.2,260,4972,988,5.0,36,16,290,315,538,3400,18,20,5.8,177,405,1572,9,3.9,83,118,1014,30,24.0,20.0,244.33,4,7,6,10,15,23,6,20,22,11,6,11,7,7,5,7,10,17,7,6,5,9,2,19,4,2,9,13,10,4,3,10,21,26,17,8,7,9,17,5,6,9,10,6,22,29,21,2,1,3,403,600.0
2004,1,New York Jets,16,333,5438,996,5.5,16,5,313,282,438,3050,19,11,6.5,163,527,2388,15,4.5,135,91,693,15,33.3,8.6,-51.69,261,4878,966,5.0,33,14,282,289,497,3312,21,19,6.2,169,432,1566,8,3.6,87,86,720,26,25.3,16.9,180.71,17,12,16,10,1,1,10,25,30,22,21,4,11,20,3,3,10,5,2,2,2,32,10,1,8,4,7,6,10,9,7,8,10,10,14,15,10,18,14,11,5,6,3,8,1,1,13,5,8,8,108,2100.0
2004,3,Philadelphia Eagles,16,386,5618,960,5.9,22,11,301,336,547,3979,32,11,6.8,188,376,1639,10,4.4,87,124,952,26,35.9,10.9,-11.51,260,5115,1039,4.9,28,11,299,334,550,3212,16,17,5.4,165,442,1903,13,4.3,101,119,1001,33,25.1,13.1,158.04,8,9,27,5,7,16,14,8,9,7,4,4,9,10,31,24,22,9,23,28,22,17,8,5,7,2,10,26,7,18,20,13,27,29,12,3,15,3,11,16,16,18,19,17,24,27,26,4,21,12,312,600.0
2004,2,Pittsburgh Steelers,16,372,5184,1012,5.1,21,8,309,228,358,2720,20,13,6.9,147,618,2464,16,4.0,134,99,835,28,35.8,11.7,-95.61,251,4134,882,4.7,32,13,248,269,484,2835,14,19,5.4,146,357,1299,8,3.6,79,104,875,23,25.9,17.2,201.08,11,16,11,20,5,4,11,31,32,28,19,9,8,26,1,2,6,20,3,5,6,15,9,7,13,1,1,1,3,11,10,2,4,5,4,1,10,3,5,2,1,6,3,3,7,11,11,7,7,6,206,300.0
2004,1,St. Louis Rams,16,319,5877,1011,5.8,39,17,321,372,580,4253,23,22,6.8,203,381,1624,11,4.3,96,127,993,22,30.3,20.6,-93.92,392,5353,1006,5.3,15,9,311,292,492,3174,24,6,6.0,172,480,2179,13,4.5,118,109,827,21,37.6,7.7,23.59,19,6,12,7,29,28,8,3,5,5,14,29,9,5,30,25,17,12,16,30,26,26,16,32,12,25,17,18,19,31,26,22,11,9,11,20,32,14,16,23,29,18,24,28,13,6,5,29,31,27,127,900.0
2005,2,Carolina Panthers,16,391,4950,964,5.1,26,10,278,269,449,3271,25,16,6.9,157,487,1679,17,3.4,82,91,732,39,35.8,12.6,-104.34,259,4522,981,4.6,42,19,262,305,528,3057,15,23,5.3,160,408,1465,9,3.6,72,128,1045,30,25.1,19.8,248.44,8,22,23,13,14,10,23,26,28,17,6,19,5,23,10,19,9,30,22,1,2,3,9,11,12,5,3,11,3,2,2,5,17,21,9,3,4,3,10,6,4,5,5,1,25,28,18,4,2,3,203,1200.0
2005,2,Denver Broncos,16,395,5766,1030,5.6,16,9,330,279,465,3227,18,7,6.6,162,542,2539,25,4.7,145,97,756,23,36.0,8.1,-52.48,258,5006,985,5.1,36,16,295,344,613,3643,20,20,5.7,183,344,1363,10,4.0,82,139,989,30,25.0,18.2,173.51,7,5,9,4,1,7,7,23,25,18,21,2,8,20,2,2,3,3,1,4,4,25,8,1,5,3,15,13,19,4,4,17,31,32,29,18,6,11,24,1,2,8,17,8,31,23,18,3,3,9,209,1200.0
2005,1,New England Patriots,16,379,5632,1031,5.5,24,9,334,352,564,4120,28,15,7.0,204,439,1512,16,3.4,101,110,921,29,34.8,13.0,-89.97,338,5283,997,5.3,18,8,306,296,527,3703,25,10,6.6,179,437,1580,11,3.6,94,132,1068,33,33.0,9.3,111.62,10,7,8,6,10,7,6,6,7,2,3,15,4,5,18,24,11,30,11,14,18,15,10,14,9,17,26,14,25,31,30,22,11,20,31,28,27,30,21,15,8,12,5,18,28,31,25,22,31,23,123,600.0
2005,4,Pittsburgh Steelers,16,389,5149,960,5.4,23,9,297,228,379,2926,21,14,7.1,144,549,2223,21,4.0,120,99,876,33,36.1,10.9,-59.51,258,4544,998,4.6,30,15,275,315,549,3168,15,15,5.3,179,402,1376,10,3.4,75,120,1031,21,27.1,14.9,268.34,9,15,24,9,7,7,17,30,32,24,14,11,2,28,1,5,5,13,5,7,12,9,7,5,6,3,4,15,3,12,6,9,21,24,16,3,20,3,21,5,3,8,1,3,20,27,6,8,13,2,402,1500.0
2005,3,Seattle Seahawks,16,452,5915,1020,5.8,17,7,361,307,474,3458,25,10,6.9,192,519,2457,29,4.7,142,94,846,27,38.9,8.1,48.65,271,5069,1041,4.9,27,11,295,331,571,3559,18,16,5.7,194,420,1510,5,3.6,78,123,909,23,30.5,12.8,195.29,1,2,17,2,2,2,2,15,23,13,6,3,5,7,7,3,1,3,2,2,9,17,4,1,2,7,16,28,10,19,19,17,28,29,25,11,16,11,31,10,5,2,5,5,22,14,7,16,20,7,307,300.0
2005,1,Washington Redskins,16,359,5289,1037,5.1,27,16,301,278,481,3106,25,11,6.1,166,525,2183,15,4.2,114,108,925,21,29.7,13.0,-118.86,293,4767,981,4.9,28,12,258,291,535,3081,15,16,5.4,158,411,1686,15,4.1,74,105,879,26,26.5,13.8,194.98,13,11,7,13,16,29,15,24,22,21,6,5,13,18,4,7,12,10,8,12,19,29,16,14,14,9,9,11,10,16,15,3,8,23,10,3,16,5,8,7,13,21,20,2,8,12,10,5,16,8,108,2100.0
2006,3,Chicago Bears,16,427,5199,1042,5.0,36,14,300,282,514,3281,24,22,6.1,161,503,1918,14,3.8,103,112,923,36,34.8,15.9,-133.82,255,4706,1023,4.6,44,20,258,328,581,3116,18,24,5.0,159,402,1590,7,4.0,77,132,1084,22,20.6,19.6,290.05,2,15,6,21,28,22,14,23,17,14,9,28,13,18,5,15,12,23,15,27,25,1,8,25,18,3,5,24,3,1,1,2,25,31,11,10,2,1,8,5,6,2,12,6,32,32,13,2,2,2,302,600.0
2006,4,Indianapolis Colts,16,427,6070,1011,6.0,19,10,376,362,557,4308,31,9,7.5,241,439,1762,17,4.0,112,86,718,23,47.4,10.9,26.73,360,5316,959,5.5,26,11,325,266,415,2548,16,15,5.8,150,519,2768,20,5.3,150,86,667,25,38.5,16.7,93.05,2,3,14,2,4,12,1,4,6,2,1,3,1,1,18,18,6,16,7,7,11,17,1,4,1,23,21,4,27,22,19,28,2,2,2,5,20,13,5,31,32,30,32,32,7,4,18,30,6,24,424,300.0
2006,2,New England Patriots,16,385,5369,1055,5.1,27,15,330,326,527,3400,25,12,6.1,181,499,1969,20,3.9,121,98,940,28,34.4,13.8,-76.38,237,4710,950,5.0,35,13,264,294,518,3203,10,22,5.7,164,388,1507,11,3.9,67,102,918,33,23.6,18.7,169.09,7,11,4,16,16,26,4,11,12,12,7,6,13,12,6,12,4,20,5,20,30,6,9,17,8,2,6,3,10,4,11,5,11,19,12,1,4,11,10,4,5,9,8,3,26,30,30,4,3,9,209,1200.0
2006,2,New Orleans Saints,16,413,6264,1075,5.8,23,10,330,372,580,4503,27,13,7.5,207,472,1761,19,3.7,99,79,597,24,36.8,12.1,-100.41,322,4917,930,5.3,19,8,262,267,474,2854,26,11,5.6,148,418,2063,10,4.9,96,89,674,18,26.5,9.0,108.74,5,1,2,3,7,12,4,1,5,1,4,9,1,4,12,19,5,26,18,6,4,15,5,9,14,13,11,1,19,31,28,4,4,4,3,30,29,10,3,7,23,7,30,11,10,5,5,5,31,20,220,600.0
2006,1,Philadelphia Eagles,16,398,6103,988,6.2,24,15,312,323,544,4119,31,9,7.2,189,416,1984,13,4.8,106,112,983,17,33.9,11.5,-32.03,328,5249,1054,5.0,29,10,314,309,525,3067,17,19,5.4,154,489,2182,12,4.5,126,96,795,34,30.1,15.1,172.08,6,2,22,1,9,26,9,13,8,3,1,3,3,8,27,11,15,5,11,27,32,29,10,7,3,15,15,30,10,13,22,25,17,23,9,7,8,4,7,25,26,12,24,31,18,18,32,13,11,7,107,300.0
2006,1,Seattle Seahawks,16,335,4977,1045,4.8,34,12,312,292,512,3054,26,22,5.4,167,484,1923,8,4.0,112,94,700,33,29.9,17.3,-202.3,341,5285,986,5.4,26,14,277,299,504,3256,23,12,6.0,160,441,2029,12,4.6,102,118,950,15,29.6,11.7,132.95,14,19,5,26,27,17,9,21,18,20,5,28,25,16,10,14,27,16,7,16,9,2,21,28,28,19,19,12,23,22,8,11,13,10,16,24,26,16,9,10,22,12,27,15,31,31,3,12,27,14,114,600.0
2007,2,Green Bay Packers,16,435,5931,985,6.0,24,9,307,383,578,4334,30,15,7.3,210,388,1597,13,4.1,69,113,1006,28,38.9,12.1,-41.4,291,5013,994,5.0,28,9,297,295,534,3366,23,19,5.9,176,424,1647,6,3.9,77,118,908,44,29.1,13.2,142.62,4,2,23,2,9,9,12,3,6,2,6,12,3,7,28,21,14,12,29,29,31,3,5,8,7,6,11,15,10,17,25,15,8,13,12,18,7,11,14,15,14,1,11,4,31,32,32,9,19,9,209,1200.0
2007,1,Jacksonville Jaguars,16,411,5719,1022,5.6,21,13,328,288,469,3328,28,8,6.7,180,522,2391,18,4.6,127,76,594,21,39.6,10.1,-1.73,304,5021,970,5.2,30,10,286,319,543,3416,20,20,5.9,181,390,1605,12,4.1,92,82,636,13,29.2,17.0,125.81,6,7,11,6,4,20,4,24,27,17,9,1,7,16,2,2,4,4,2,5,5,16,4,3,4,10,12,6,18,12,21,9,14,20,15,12,4,11,16,6,11,18,18,15,7,8,3,10,6,17,117,300.0
2007,3,New England Patriots,16,589,6580,1058,6.2,15,6,393,403,586,4731,50,9,7.8,243,451,1849,17,4.1,124,78,690,26,52.7,7.8,133.73,274,4613,933,4.9,31,12,278,314,526,3041,23,19,5.3,172,360,1572,7,4.4,91,96,764,15,24.0,16.6,125.67,1,1,2,1,1,3,1,2,5,1,1,3,1,1,9,13,5,12,3,7,16,7,1,1,1,4,4,1,6,9,14,6,12,12,6,18,7,4,10,1,10,4,27,14,24,25,7,2,7,18,318,300.0
2007,4,New York Giants,16,373,5302,1041,5.1,34,14,321,302,544,3154,23,20,5.5,167,469,2148,15,4.6,119,77,652,35,32.3,17.5,-163.79,351,4880,984,5.0,25,10,288,306,523,3317,24,15,5.8,185,408,1563,12,3.8,83,118,874,20,29.5,12.4,126.48,14,16,7,19,24,24,8,23,17,21,14,25,23,23,8,4,8,4,4,6,12,1,16,27,19,17,7,13,10,23,21,11,10,9,11,20,21,10,19,10,8,18,6,9,31,28,15,11,24,16,416,300.0
2007,2,San Diego Chargers,16,412,5044,980,5.1,24,8,278,281,471,3005,22,16,6.1,158,485,2039,19,4.2,104,94,761,16,34.0,12.6,-114.6,284,5124,1013,5.1,48,18,297,338,555,3412,20,30,5.7,185,416,1712,11,4.1,89,86,665,23,23.8,22.7,172.48,5,20,24,19,9,6,25,28,26,26,15,15,16,27,7,7,2,8,12,18,21,24,11,10,14,5,14,20,14,1,2,15,20,23,14,12,1,8,19,12,16,14,18,11,12,10,21,1,1,3,203,1200.0
2007,1,Seattle Seahawks,16,393,5583,1056,5.3,24,11,323,371,590,3964,30,13,6.3,211,430,1619,9,3.8,93,59,428,19,33.2,11.4,-107.06,291,5149,1035,5.0,34,14,278,333,568,3505,15,20,5.7,183,422,1644,16,3.9,78,99,756,17,25.5,15.9,186.62,9,9,3,16,9,13,5,5,2,8,6,5,14,6,17,20,23,24,19,1,1,20,12,5,13,6,15,25,10,6,11,6,17,25,19,1,4,8,17,14,12,27,11,5,25,22,11,5,11,1,101,600.0
2008,3,Arizona Cardinals,16,427,5852,998,5.9,30,15,328,418,630,4674,31,15,7.1,231,340,1178,14,3.5,72,107,781,25,39.3,15.7,-42.91,426,5304,993,5.3,30,17,312,323,517,3540,36,13,6.5,172,445,1764,13,4.0,117,98,816,23,38.7,15.5,67.05,3,4,15,6,25,30,6,1,2,2,3,18,6,2,32,32,18,31,31,28,22,6,7,25,8,28,19,16,16,6,1,22,20,16,22,32,18,24,19,19,16,13,12,24,25,27,23,25,7,22,322,300.0
2008,2,Baltimore Ravens,16,385,5184,1058,4.9,21,9,300,261,433,2808,16,12,6.0,147,592,2376,20,4.0,132,103,785,21,33.0,10.8,-196.15,244,4177,928,4.5,34,8,228,276,528,2875,17,26,5.1,152,366,1302,4,3.6,58,114,792,18,21.5,17.4,339.23,11,18,2,24,9,11,14,29,30,28,22,10,18,25,1,4,6,23,2,26,23,13,19,9,27,3,2,3,3,1,22,1,2,21,2,7,1,2,4,1,3,1,5,1,32,25,11,1,2,1,201,1500.0
2008,2,Philadelphia Eagles,16,416,5608,1056,5.3,26,10,318,362,606,3911,23,16,6.2,204,427,1697,15,4.0,94,74,635,20,35.5,11.5,-106.76,289,4389,994,4.4,29,14,248,284,525,2913,19,15,5.1,144,421,1476,7,3.5,79,81,598,25,25.3,13.6,297.87,6,9,3,14,18,15,8,6,4,6,9,21,12,6,17,22,15,23,22,4,9,16,13,12,18,4,3,17,2,10,6,3,5,19,3,11,12,2,2,13,4,2,4,6,9,4,25,4,13,3,203,1200.0
2008,4,Pittsburgh Steelers,16,347,4991,1015,4.9,25,10,290,303,506,3301,19,15,5.9,179,460,1690,16,3.7,93,95,812,18,32.6,12.6,-199.86,223,3795,974,3.9,29,9,240,301,533,2511,12,20,4.3,149,390,1284,7,3.3,73,91,801,18,22.9,14.4,308.95,20,22,10,24,15,15,20,20,20,17,18,18,21,14,9,23,12,29,24,20,25,22,21,16,28,1,1,11,1,10,18,2,14,23,1,2,6,1,3,5,2,2,1,3,20,26,11,2,10,2,402,1500.0
2008,1,San Diego Chargers,16,439,5584,924,6.0,20,9,301,312,478,3858,34,11,7.7,191,421,1726,13,4.1,92,95,748,18,43.5,10.6,37.86,347,5599,1041,5.4,24,9,339,411,605,3958,25,15,6.3,213,408,1641,11,4.0,98,78,708,28,35.5,13.0,100.3,2,11,29,4,7,11,13,15,25,7,1,6,1,7,20,20,20,19,25,20,21,22,3,8,3,15,25,28,20,18,18,30,32,31,31,28,12,19,32,10,11,9,12,15,4,17,28,19,14,16,116,600.0
2009,1,Arizona Cardinals,16,375,5510,985,5.6,36,18,317,392,594,4016,27,18,6.5,215,365,1494,16,4.1,77,108,886,25,30.7,17.1,-116.0,325,5543,1038,5.3,29,8,289,346,593,3739,22,21,5.9,188,402,1804,13,4.5,81,104,840,20,27.6,13.8,87.97,11,14,22,13,31,32,14,3,3,12,11,21,12,6,32,28,12,21,28,26,27,13,18,30,18,14,20,24,17,10,27,10,26,31,23,15,7,11,24,8,17,17,26,8,23,23,10,8,16,18,118,900.0
2009,1,Baltimore Ravens,16,391,5619,1014,5.5,22,9,320,321,510,3419,21,13,6.3,187,468,2200,22,4.7,115,115,1094,18,35.0,10.9,-66.23,261,4808,991,4.9,32,10,280,306,524,3316,17,22,6.0,164,435,1492,8,3.4,82,88,741,34,26.3,16.7,209.19,9,13,16,14,5,8,13,19,25,18,17,9,13,15,7,5,1,4,5,29,32,24,11,7,11,3,3,13,3,7,21,7,11,14,8,7,5,16,5,18,5,6,1,10,11,13,29,5,5,3,103,1200.0
2009,1,Dallas Cowboys,16,361,6390,1020,6.3,19,10,335,347,550,4287,26,9,7.3,203,436,2103,14,4.8,110,115,892,22,33.5,9.5,-32.87,250,5054,979,5.2,21,10,286,344,572,3606,19,11,5.9,186,365,1448,7,4.0,74,93,768,26,24.3,11.6,106.38,14,2,13,1,4,13,6,10,13,6,13,3,5,9,17,7,16,2,9,29,28,17,14,4,8,2,9,10,13,27,21,9,23,26,20,11,27,11,22,2,4,4,9,4,16,17,25,2,24,15,115,600.0
2009,3,Indianapolis Colts,16,416,5809,980,5.9,24,5,339,402,601,4515,34,19,7.4,241,366,1294,16,3.5,69,74,546,29,37.9,13.2,43.68,307,5427,1084,5.0,26,10,320,372,583,3403,19,16,5.5,203,467,2024,10,4.3,106,92,889,11,33.0,14.0,126.71,7,9,23,5,10,1,5,1,2,2,2,24,4,1,31,32,12,30,32,2,2,6,7,14,3,8,18,31,7,18,21,27,30,30,14,11,15,4,29,25,24,8,17,23,14,24,1,18,14,13,313,300.0
